"Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"01/2004","3615861","","263265315","","72,81",""
"02/2004","3615861","","263258565","","72,81",""
"03/2004","3666020","","265752730","","72,49",""
"04/2004","3766737","","269441935","","71,53",""
"05/2004","3967829","","280141245","","70,60",""
"06/2004","4103013","","288166955","","70,23",""
"07/2004","4279542","","298459485","","69,74",""
"08/2004","4550466","","315019615","","69,23",""
"09/2004","5035657","","346686645","","68,85",""
"10/2004","5385597","","366929702","","68,13",""
"11/2004","5948883","","394792241","","66,36",""
"12/2004","6571839","","439870605","","66,93",""
"01/2005","6572060","","430841390","","65,56",""
"02/2005","6556131","","429863637","","65,57",""
"03/2005","6562152","","430198110","","65,56",""
"04/2005","6732122","","439250220","","65,25",""
"05/2005","7033153","","459869972","","65,39",""
"06/2005","7031669","","459768106","","65,39",""
"07/2005","7319714","","474590721","","64,84",""
"08/2005","7523795","","488127091","","64,88",""
"09/2005","7668002","","495910659","","64,67",""
"10/2005","8005712","","512558075","","64,02",""
"11/2005","8175540","","521303533","","63,76",""
"12/2005","8700445","","549385527","","63,14",""
"01/2006","8644196","","537781906","","62,21",""
"02/2006","8707056","","540021556","","62,02",""
"03/2006","8789532","","543779656","","61,87",""
"04/2006","8998021","","555778844,00","","61,77",""
"05/2006","9229324","","567298676,00","","61,47",""
"06/2006","11166924","","681860977","","61,06",""
"07/2006","11120353","","683130503,00","","61,43",""
"08/2006","11101180","","682663673,00","","61,49",""
"09/2006","11017689","","678098309,00","","61,55",""
"10/2006","11009341","","680080588","","61,77",""
"11/2006","11098076","","687464822","","61,94",""
"12/2006","10965810","","686701812","","62,62",""
"01/2007","10908452","","683456074","","62,65",""
"02/2007","11035371","","692507061","","62,75",""
"03/2007","11071446","","695503795","","62,82",""
"04/2007","11046468","","694543155","","62,87",""
"05/2007","11155467","","703172961","","63,03",""
"06/2007","10749655","","683553545","","63,59",""
"07/2007","10891898","","692953459","","63,62",""
"08/2007","10956436","","819728871","","74,82",""
"09/2007","10960874","","819429429","","74,76",""
"10/2007","11037575","","826640263","","74,89",""
"11/2007","10952346","","822904297","","75,13",""
"12/2007","11043076","","831106698","","75,26",""
"01/2008","11007829","","830163691","","75,42",""
"02/2008","11129327","","838936498","","75,38",""
"03/2008","11039571","","854003335","","77,36",""
"04/2008","10976312","","850107871","","77,45",""
"05/2008","11086349","","864197458,00","","77,95",""
"06/2008","11075201","","865864797","","78,18",""
